station_code,state,source,source_url,retrieval_date,confidence,method
DGD,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
DOD,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
GAJ,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
JNM,West Bengal,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
NSD,Rajasthan,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
PHA,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
NZB,Telangana,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
RJO,Bihar,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
ADT,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
KMU,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
MNM,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
GKP,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
VRM,Gujarat,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
GKC,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
ITA,Gujarat,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
BTU,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
MOGA,Punjab,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
SIOB,Gujarat,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
RDK,Rajasthan,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
PVD,Andhra Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
YLM,Andhra Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
CHPT,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
JLD,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
BRJN,Odisha,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
CLJ,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
KTHL,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
MND,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
SNSI,Maharashtra,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
DLJ,Gujarat,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
PGW,Punjab,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
JUP,Haryana,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
JSG,Odisha,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
KYW,Bihar,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
MHRN,Bihar,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
TKVR,Bihar,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
DPI,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
AQG,Rajasthan,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
NEA,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
GRL,Bihar,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
KHI,Bihar,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
VNJ,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
CBF,Tamil Nadu,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
UMB,Haryana,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
SRO,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
SJT,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
BDNP,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
MTPC,Rajasthan,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
HTZ,Bihar,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
DDNI,Assam,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
RDE,Haryana,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
IJ,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
RMX,Rajasthan,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
PBE,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
RMB,Rajasthan,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
MGS,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
RSWT,Rajasthan,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
BKNA,Uttar Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
HBD,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
ANA,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
BNI,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
DMGN,Assam,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
LKPL,Telangana,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
BRUD,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
DVL,Maharashtra,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
JRTR,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
REWA,Madhya Pradesh,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
DOK,Gujarat,"Computed: point-in-polygon against geoBoundaries India ADM1 state/union-territory boundaries (William & Mary geoLab, CC BY 2.5 India; boundary source data: DataMeet India community + Election Commission of India), applied to station coordinates from datameet/railways (CC0)",https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/; https://github.com/datameet/railways,2026-09-02,verified-geometric,point_in_polygon
